Business Name,Address,Phone,Website,Rating,Reviews,Status
Toy World Patna,Fraser Road Patna Bihar 800001,917004667347,https://toyworld.in,4.2,156,pending
Kids Paradise,Boring Road Patna Bihar 800001,919876543210,,3.8,89,pending
Fun Zone Toys,Exhibition Road Patna Bihar 800001,918765432109,https://funzonetoys.com,4.5,234,pending
Little Stars Toy Shop,Bailey Road Patna Bihar 800014,919123456789,,4.0,45,pending
Toyland Express,Kankarbagh Patna Bihar 800020,918234567890,https://toylandexpress.in,4.1,123,pending
Happy Kids Store,Rajendra Nagar Patna Bihar 800016,917345678901,,3.5,67,pending
Wonderland Toys,Patliputra Colony Patna Bihar 800013,916456789012,https://wonderlandtoys.com,4.7,312,pending
Smart Kids Toys,Danapur Patna Bihar 800012,915567890123,,3.9,56,pending
Toy Junction,Ashok Rajpath Patna Bihar 800004,914678901234,https://toyjunction.in,4.3,198,pending
Dream Toys Patna,Gandhi Maidan Patna Bihar 800001,913789012345,,4.0,78,pending
