"Business Name","Address","Phone","Website","Rating","Reviews","Status"
"The Marvel Toys","UNIVERSAL TOWER, B-7, More, near DOMINO'S, Kurji, Patna, Bihar 800010, India","+91 70046 67347","http://themarveltoys.in/","4.9","592","Open"
"Kiran Toys","Shanta Complex, Rajeshwar, West Boring Canal Rd, Anandpuri, Patna, Bihar 800001, India","+91 80830 32988","No Website Available","4.9","554","Open"
"Patna Toys","Patliputra Kurji Pnm, Mall Rd, near Sai Mandir Road, New Patliputra Colony, Patna, Bihar 800013, India","+91 78706 36168","https://www.patnatoys.com/","4.7","335","Open"
"Toys shop","Maurya complex, Shop no 15, Maurya Tower, Patna, Bihar 800001, India","+91 98354 38803","No Website Available","4.2","32","Open"
"THE TOY LAND","Basement, Hari lal Building, Bailey Rd, RPS More, Cantt, Danapur, Patna, Bihar 801503, India","+91 94300 97086","http://thetoyland.in/","4.8","90","Open"
"The Toy City - Best Toys Shop in Saguna More, Danapur","PGS More, Lekha nagar, Kaliket Nagar, Danapur, Patna, Bihar 801105, India","N/A","No Website Available","4.8","302","Open"
"Bachpan","L.B, Rajendra Path, Salimpur Ahra, Kadamkuan, Patna, Bihar 800001, India","+91 87097 79341","No Website Available","3.4","137","Open"
"khilona","Raj gopal enclave, beside raymond's showroom, near Balmi Chak Main Road, mor, Anisabad, Patna, Bihar 800002, India","N/A","No Website Available","4.4","38","Open"
"ToyKart","Pillar no2, Chandan Deep Apartment, Jagdeo Path, near Allan Solly, Jagdeo Path, Raja Bazar, Dhanaut, Patna, Bihar 800014, India","+91 92969 61359","No Website Available","4.9","57","Open"
"Khel Ghar","Bailey Rd, near Shiv Mandir, Anandpur, Khajpura, Patna, Bihar 800014, India","+91 94302 47250","No Website Available","3.8","171","Open"
"APPU GHAR","Om Vihar Commercial Complex, beside Gyan Ganga book shop, Kadamkuan, Patna, Bihar 800003, India","+91 93343 39028","http://appugharkids.com/","4.4","156","Open"
"Siddhi Collection","Jagdish Lok Apartment, West Boring Canal Rd, near Harilal Sweets, opp. Zee Super Market, Anandpuri, Patna, Bihar 800001, India","+91 93345 92422","No Website Available","4.8","44","Open"
"KHILAUNA GHAR","East Ram Krishna Nagar, Ramkrishan Nagar, Patna, Bihar 800027, India","N/A","No Website Available","4.9","78","Open"
"Magic world the perfect gift and toy shop","shop no:18, Indra market, Ramjaipal Rd, near PNB Bank, Rupaspur, Kaliket Nagar, Danapur, Patna, Bihar 801503, India","+91 74883 89250","No Website Available","4.6","90","Open"
"New Toy Land","Patna Market Shop No.78, Ashok Rajpath Rd, Patna, Bihar 800004, India","+91 98354 58568","No Website Available","3.9","60","Open"
"KIDS BATTERY THAR","Nutan Plaza, kids thaar, above bonkers cafe, near 9to9 super market, Bander Bagicha, Patna, Bihar 800001, India","+91 74848 97134","https://kidsthaar.in/","4.9","165","Open"
